iter	Passed	Remaining
780	2572	517
781	2575	513
782	2579	510
783	2582	507
784	2585	503
785	2588	500
786	2592	497
787	2595	494
788	2598	490
789	2602	487
790	2605	484
791	2608	480
792	2612	477
793	2615	474
794	2618	471
795	2623	467
796	2626	464
797	2629	461
798	2632	458
799	2636	454
800	2640	451
801	2643	448
802	2650	445
803	2653	442
804	2660	439
805	2670	437
806	2675	434
807	2679	431
808	2683	427
809	2687	424
810	2692	421
811	2696	418
812	2700	415
813	2704	412
814	2708	408
815	2713	405
816	2717	402
817	2721	399
818	2725	396
819	2730	392
820	2737	390
821	2741	386
822	2745	383
823	2752	380
824	2761	378
825	2767	375
826	2779	373
827	2782	369
828	2786	366
829	2790	363
830	2794	359
831	2798	356
832	2801	353
833	2804	349
834	2807	346
835	2811	343
836	2814	339
837	2817	336
838	2821	332
839	2824	329
840	2827	326
841	2831	322
842	2834	319
843	2837	316
844	2841	312
845	2844	309
846	2847	305
847	2851	302
848	2854	299
849	2857	295
850	2860	292
851	2864	289
852	2867	285
853	2870	282
854	2874	279
855	2877	275
856	2880	272
857	2883	268
858	2886	265
859	2889	262
860	2892	258
861	2895	255
862	2898	251
863	2901	248
864	2904	245
865	2907	241
866	2910	238
867	2913	234
868	2916	231
869	2919	228
870	2922	224
871	2925	221
872	2928	218
873	2931	214
874	2935	211
875	2938	207
876	2941	204
877	2944	201
878	2947	197
879	2950	194
880	2953	191
881	2956	187
882	2959	184
883	2963	181
884	2966	177
885	2968	174
886	2971	170
887	2974	167
888	2977	164
889	2980	160
890	2983	157
891	2986	154
892	2989	150
893	2993	147
894	2996	143
895	2999	140
896	3002	137
897	3006	133
898	3009	130
899	3012	127
900	3015	123
901	3018	120
902	3021	117
903	3024	113
904	3027	110
905	3030	107
906	3033	103
907	3035	100
908	3039	96
909	3042	93
910	3045	90
911	3048	86
912	3051	83
913	3054	80
914	3057	76
915	3060	73
916	3063	70
917	3066	66
918	3069	63
919	3072	60
920	3075	56
921	3078	53
922	3081	50
923	3084	46
924	3087	43
925	3090	40
926	3093	36
927	3096	33
928	3099	30
929	3102	26
930	3105	23
931	3110	20
932	3113	16
933	3117	13
934	3120	10
935	3123	6
936	3126	3
937	3129	0
